,Pdb Code
0,1PRH
1,1PTH
2,1CQE
3,1EQG
4,1EBV
5,1Q4G
6,2AYL
7,3N8V
8,7JXT
9,6Y3C
10,1CX2
11,6BL4
12,4HHS
13,2SBL
14,1YGE
15,1LNH
16,2FNQ
17,3FG4
18,1LOX
19,3O8Y
20,4NRE
21,2SQC
22,1GOS
23,1OJA
24,1O5W
25,2BXR
26,2Z5X
27,3VV9
28,1MT5
29,5B49
30,4GGM
31,4EHW
32,4QN9
33,2YOC
34,6IEJ
35,6I8W
36,8EMX
37,6A2E
38,5KN7
39,7OJT
40,6QGS
41,6IG4
42,3HYW
43,6MO6
44,2GMH
45,6DV2
46,7KOE
47,2QCU
48,4NM9
49,4G9K
50,4G6G
51,4NWZ
52,6BFG
53,6L06
54,7CNW
55,2OLV
56,2OQO
57,3VMA
58,7LQ6
59,2XCI
60,3VMT
61,6EJI
62,6RY0
63,5W7L
64,1B12
65,1KN9
66,1T7D
67,4WVG
68,3BF0
69,3RST
70,4KWB
71,4GWM
72,4LXJ
73,1J79
74,1XGE
75,1UUM
76,2PRM
77,3I65
78,3L7I
79,2K5U
80,2KSQ
81,3FSN
82,4F3D
83,4PLA
84,7APJ
85,3JC1
86,6TZ9
87,7ZCG
88,5FD7
89,5J45
90,6H7W
91,6MLU
92,7RSL
93,6QL4
94,6Q0X
95,7D6D
96,8AFZ
97,6XU5
98,6UP6
99,6ZG5
100,7BLN
101,6XJN
102,7SC0
103,7SOX
104,6VNW
105,5UV6
106,6YRK
107,6NZD
108,6ULG
109,4Y7I
110,6TZY
111,6KOI
112,6UXM
113,6L8V
114,7OFM
115,1VSG
116,2VSG
117,5LY9
118,6ELC
119,6Z7A
120,7AHL
121,3M2L
122,3ANZ
123,6U49
124,3B07
125,4P1Y
126,1LKF
127,4P1X
128,4TW1
129,6RHV
130,6U33
131,7P8T
132,6U3Y
133,4H56
134,1PFO
135,3KWV
136,3J9C
137,6VRA
138,7KXR
139,3NSJ
140,7PAG
141,6U23
142,8A1D
143,3O44
144,1XEZ
145,4HSC
146,3C0M
147,4MKO
148,5FMW
149,6DLW
150,6H03
151,7NYC
152,6CXO
153,5GAQ
154,5IMW
155,5IMY
156,5LY6
157,6RB9
158,6KLX
159,6UWR
160,7VNN
161,6X1K
162,2POR
163,1PRN
164,1BH3
165,1H6S
166,1OSM
167,6RD3
168,8PYZ
169,1E54
170,2FGR
171,2OMF
172,1MPF
173,1OPF
174,1GFM
175,1BT9
176,1HXX
177,2ZFG
178,3FYX
179,3O0E
180,3HW9
181,3K19
182,3POU
183,4D5U
184,6WTZ
185,7NSU
186,5O78
187,3NSG
188,6ENE
189,5O77
190,2J1N
191,2XE1
192,7JZ3
193,5O79
194,5O9C
195,5FVN
196,2F1C
197,2IWV
198,2X9K
199,2JQY
200,5MWV
201,6OQH
202,5OYK
203,5ONU
204,6EHB
205,1PHO
206,2MPR
207,1MAL
208,1MPM
209,1AF6
210,1A0T
211,1UUN
212,4GEY
213,4RJW
214,2O4V
215,3VZT
216,3WI4
217,7DE8
218,4AUI
219,4FQE
220,4V3G
221,4RL8
222,2N6L
223,5LDV
224,4D64
225,5MDO
226,5O65
227,6EUS
228,6R2Q
229,2ODJ
230,3SY7
231,3SY9
232,3SYB
233,2QTK
234,3SYS
235,3SZD
236,3SZV
237,3T0S
238,3T20
239,3T24
240,3JTY
241,5DL5
242,5DL6
243,5DL7
244,5DL8
245,1EK9
246,1TQQ
247,2VDE
248,6WXH
249,7NG8
250,4MT4
251,1YC9
252,1WP1
253,3D5K
254,5AZO
255,5AZS
256,5BUN
257,3PIK
258,4K7R
259,1NQE
260,1UJW
261,2GUF
262,2GSK
263,2YSU
264,3M8B
265,2HDI
266,1BXW
267,1QJP
268,1G90
269,2GE4
270,2JMM
271,2K0L
272,1I78
273,2X55
274,2F1V
275,2MHL
276,6QWR
277,4RL9
278,4RLC
279,2X27
280,2LHF
281,1QJ8
282,1ORM
283,1Q9F
284,2M06
285,3QRA
286,2N2M
287,5VJ8
288,3DZM
289,1QD5
290,1FW2
291,1ILZ
292,1K24
293,2VDF
294,1P4T
295,2WJR
296,2ERV
297,3FID
298,1MM4
299,1THQ
300,3GP6
301,1T16
302,3DWN
303,3PGR
304,3DWO
305,6KZ3
306,3EFM
307,3BS0
308,3BRY
309,1TLY
310,1BY3
311,2FCP
312,1QFG
313,1QKC
314,1FI1
315,2GRX
316,4CU4
317,8A60
318,4EPA
319,1FEP
320,6BPN
321,1KMO
322,1PNZ
323,2D1U
324,5FOK
325,5NEC
326,5FP1
327,5FP2
328,5FR8
329,3CSL
330,3FHH
331,1XKW
332,3QLB
333,1XKH
334,2O5P
335,2IAH
336,3RBH
337,4AFK
338,4XNL
339,8PZ4
340,7ULA
341,2VQI
342,3FIP
343,3RFZ
344,4J3O
345,6E14
346,7LHI
347,3V8X
348,2YNK
349,2MLH
350,4UV3
351,4Q79
352,6LQH
353,6L7A
354,6SI7
355,4ZGV
356,6GIE
357,4AIP
358,6E4V
359,6V81
360,5M9B
361,5NC3
362,6TZK
363,4RDT
364,4MT0
365,6V0C
366,7PGE
367,1UYN
368,2GR8
369,2QOM
370,3SLJ
371,3SZE
372,4MEE
373,3AEH
374,1WXR
375,3KVN
376,3ML3
377,4E1S
378,1F02
379,4E1T
380,1CWV
381,2LME
382,4C00
383,4RAP
384,3QQ2
385,6WIL
386,6WIM
387,7O23
